{'Dense_Out': {'bias': 0.04, 'kernel': 1.38}, 'HeinsenMinGRULayer_0': {'Dense_x': {'bias': 0.07, 'kernel': 0.06}}, 'HeinsenMinGRULayer_1': {'Dense_x': {'bias': 0.06, 'kernel': 0.14}}, 'HeinsenMinGRULayer_2': {'Dense_x': {'bias': 0.05, 'kernel': 0.49}}, 'HeinsenMinGRULayer_3': {'Dense_x': {'bias': 0.02, 'kernel': 0.39}}}, 0.3410452902317047
{'Dense_Out': {'bias': 0.05, 'kernel': 1.91}, 'HeinsenMinGRULayer_0': {'Dense_x': {'bias': 0.08, 'kernel': 0.06}}, 'HeinsenMinGRULayer_1': {'Dense_x': {'bias': 0.08, 'kernel': 0.17}}, 'HeinsenMinGRULayer_2': {'Dense_x': {'bias': 0.05, 'kernel': 0.47}}, 'HeinsenMinGRULayer_3': {'Dense_x': {'bias': 0.02, 'kernel': 0.66}}}, 0.38687705993652344
{'Dense_Out': {'bias': 0.02, 'kernel': 0.75}, 'HeinsenMinGRULayer_0': {'Dense_x': {'bias': 0.08, 'kernel': 0.06}}, 'HeinsenMinGRULayer_1': {'Dense_x': {'bias': 0.07, 'kernel': 0.17}}, 'HeinsenMinGRULayer_2': {'Dense_x': {'bias': 0.07, 'kernel': 0.8}}, 'HeinsenMinGRULayer_3': {'Dense_x': {'bias': 0.08, 'kernel': 1.73}}}, 0.3703862726688385
{'Dense_Out': {'bias': 0.03, 'kernel': 1.17}, 'HeinsenMinGRULayer_0': {'Dense_x': {'bias': 0.1, 'kernel': 0.07}}, 'HeinsenMinGRULayer_1': {'Dense_x': {'bias': 0.08, 'kernel': 0.23}}, 'HeinsenMinGRULayer_2': {'Dense_x': {'bias': 0.07, 'kernel': 0.78}}, 'HeinsenMinGRULayer_3': {'Dense_x': {'bias': 0.09, 'kernel': 2.03}}}, 0.35063812136650085
{'Dense_Out': {'bias': 0.02, 'kernel': 0.74}, 'HeinsenMinGRULayer_0': {'Dense_x': {'bias': 0.06, 'kernel': 0.04}}, 'HeinsenMinGRULayer_1': {'Dense_x': {'bias': 0.06, 'kernel': 0.18}}, 'HeinsenMinGRULayer_2': {'Dense_x': {'bias': 0.04, 'kernel': 0.47}}, 'HeinsenMinGRULayer_3': {'Dense_x': {'bias': 0.04, 'kernel': 1.11}}}, 0.2909091114997864
{'Dense_Out': {'bias': 0.03, 'kernel': 1.3}, 'HeinsenMinGRULayer_0': {'Dense_x': {'bias': 0.04, 'kernel': 0.03}}, 'HeinsenMinGRULayer_1': {'Dense_x': {'bias': 0.04, 'kernel': 0.14}}, 'HeinsenMinGRULayer_2': {'Dense_x': {'bias': 0.06, 'kernel': 0.71}}, 'HeinsenMinGRULayer_3': {'Dense_x': {'bias': 0.03, 'kernel': 0.81}}}, 0.3489033877849579
{'Dense_Out': {'bias': 0.04, 'kernel': 1.52}, 'HeinsenMinGRULayer_0': {'Dense_x': {'bias': 0.04, 'kernel': 0.04}}, 'HeinsenMinGRULayer_1': {'Dense_x': {'bias': 0.04, 'kernel': 0.13}}, 'HeinsenMinGRULayer_2': {'Dense_x': {'bias': 0.09, 'kernel': 1.08}}, 'HeinsenMinGRULayer_3': {'Dense_x': {'bias': 0.05, 'kernel': 1.36}}}, 0.3868635296821594
{'Dense_Out': {'bias': 0.01, 'kernel': 0.54}, 'HeinsenMinGRULayer_0': {'Dense_x': {'bias': 0.16, 'kernel': 0.13}}, 'HeinsenMinGRULayer_1': {'Dense_x': {'bias': 0.12, 'kernel': 0.34}}, 'HeinsenMinGRULayer_2': {'Dense_x': {'bias': 0.15, 'kernel': 1.82}}, 'HeinsenMinGRULayer_3': {'Dense_x': {'bias': 0.07, 'kernel': 1.94}}}, 0.525061309337616
{'Dense_Out': {'bias': 0.03, 'kernel': 1.17}, 'HeinsenMinGRULayer_0': {'Dense_x': {'bias': 0.05, 'kernel': 0.04}}, 'HeinsenMinGRULayer_1': {'Dense_x': {'bias': 0.05, 'kernel': 0.1}}, 'HeinsenMinGRULayer_2': {'Dense_x': {'bias': 0.02, 'kernel': 0.28}}, 'HeinsenMinGRULayer_3': {'Dense_x': {'bias': 0.02, 'kernel': 0.38}}}, 0.2777132987976074
{'Dense_Out': {'bias': 0.06, 'kernel': 2.41}, 'HeinsenMinGRULayer_0': {'Dense_x': {'bias': 0.03, 'kernel': 0.03}}, 'HeinsenMinGRULayer_1': {'Dense_x': {'bias': 0.05, 'kernel': 0.1}}, 'HeinsenMinGRULayer_2': {'Dense_x': {'bias': 0.04, 'kernel': 0.46}}, 'HeinsenMinGRULayer_3': {'Dense_x': {'bias': 0.01, 'kernel': 1.27}}}, 0.3723364770412445
